Frame,X,Y
1006,356.0,538.0
1007,356.0,540.0
1008,358.0,540.0
1009,358.0,542.0
1010,358.0,544.0
1011,360.0,544.0
1012,360.0,546.0
1013,362.0,546.0
1014,362.0,548.0
1015,364.0,548.0
1016,364.0,550.0
1017,364.0,550.0
1018,364.0,552.0
1019,366.0,552.0
1020,366.0,554.0
1021,366.0,554.0
1022,368.0,554.0
1023,368.0,554.0
1024,368.0,556.0
1025,368.0,556.0
1026,368.0,556.0
1027,368.0,556.0
1028,370.0,556.0
1029,370.0,556.0
1030,370.0,556.0
1031,368.0,558.0
1032,368.0,558.0
1033,368.0,556.0
1034,368.0,556.0
1035,368.0,556.0
1036,368.0,556.0
1037,368.0,556.0
1038,368.0,554.0
1039,368.0,554.0
1040,366.0,554.0
1041,366.0,554.0
1042,366.0,552.0
1043,366.0,552.0
1044,364.0,552.0
1045,364.0,550.0
1046,364.0,550.0
1047,364.0,548.0
1048,362.0,548.0
1049,362.0,546.0
1050,360.0,546.0
1051,360.0,544.0
1052,358.0,544.0
1053,358.0,542.0
1054,358.0,540.0
1055,356.0,540.0
1056,356.0,538.0
1057,354.0,538.0
1058,352.0,536.0
1059,352.0,534.0
1060,350.0,532.0
1061,350.0,530.0
1062,348.0,530.0
1063,348.0,528.0
1064,346.0,526.0
1065,346.0,524.0
1066,344.0,522.0
1067,342.0,520.0
1068,340.0,520.0
1069,340.0,518.0
1070,338.0,516.0
1071,338.0,514.0
1072,336.0,512.0
1073,334.0,510.0
1074,334.0,508.0
1075,332.0,506.0
1076,332.0,504.0
1077,330.0,504.0
1078,328.0,502.0
1079,326.0,500.0
1080,326.0,498.0
1081,324.0,496.0
1082,324.0,494.0
1083,322.0,492.0
1084,320.0,492.0
1085,320.0,490.0
1086,318.0,488.0
1087,318.0,486.0
1088,316.0,484.0
1089,316.0,482.0
1090,314.0,482.0
1091,312.0,480.0
1092,312.0,478.0
1093,310.0,478.0
1094,310.0,476.0
1095,308.0,474.0
1096,308.0,474.0
1097,306.0,472.0
1098,306.0,470.0
1099,306.0,470.0
1100,304.0,468.0
1101,304.0,468.0
1102,302.0,466.0
1103,302.0,466.0
1104,302.0,464.0
1105,300.0,464.0
1106,300.0,464.0
1107,300.0,462.0
1108,300.0,462.0
1110,298.0,460.0
1111,298.0,460.0
1112,298.0,460.0
1113,298.0,460.0
1114,298.0,460.0
1115,298.0,458.0
1116,298.0,458.0
1117,298.0,458.0
1118,298.0,458.0
1119,298.0,458.0
1120,298.0,458.0
1121,298.0,458.0
1122,298.0,458.0
1123,298.0,460.0
1124,298.0,460.0
1125,298.0,460.0
1126,298.0,460.0
1127,300.0,460.0
1128,300.0,462.0
1129,300.0,462.0
1130,300.0,464.0
1131,302.0,464.0
1132,302.0,464.0
1133,302.0,466.0
1134,304.0,466.0
1135,304.0,468.0
1136,304.0,468.0
1137,306.0,470.0
1138,308.0,470.0
1139,308.0,472.0
1140,308.0,474.0
1141,310.0,474.0
1142,310.0,476.0
1143,310.0,478.0
1144,312.0,478.0
1145,312.0,480.0
1146,314.0,482.0
1147,316.0,484.0
1148,316.0,484.0
1149,318.0,486.0
1150,320.0,488.0
1151,320.0,490.0
1152,322.0,490.0
1153,322.0,492.0
1154,324.0,494.0
1155,324.0,496.0
1156,326.0,498.0
1157,328.0,500.0
1158,328.0,502.0
1159,330.0,502.0
1160,332.0,504.0
1161,332.0,506.0
1162,334.0,508.0
1163,336.0,510.0
1164,336.0,512.0
1165,338.0,514.0
1166,340.0,516.0
1167,340.0,518.0
1168,342.0,518.0
1169,342.0,520.0
1170,344.0,522.0
1171,346.0,524.0
1172,346.0,526.0
1173,348.0,528.0
1174,348.0,530.0
1175,350.0,530.0
1176,352.0,532.0
1177,352.0,534.0
1178,354.0,534.0
1179,354.0,536.0
1180,356.0,538.0
1181,356.0,540.0
1182,358.0,540.0
1183,358.0,542.0
1184,360.0,542.0
1185,360.0,544.0
1186,360.0,546.0
1187,362.0,546.0
1188,362.0,548.0
1189,364.0,548.0
1190,364.0,550.0
1191,364.0,550.0
1192,364.0,552.0
1193,366.0,552.0
1194,366.0,552.0
1195,366.0,554.0
1196,366.0,554.0
1197,368.0,554.0
1198,368.0,554.0
1199,368.0,556.0
1200,368.0,556.0
1201,368.0,556.0
1202,368.0,556.0
1203,368.0,556.0
1204,368.0,556.0
1205,368.0,556.0
1206,368.0,556.0
1207,368.0,556.0
1208,368.0,556.0
1209,368.0,556.0
1210,368.0,556.0
1211,368.0,556.0
1212,368.0,554.0
1213,368.0,554.0
1214,366.0,554.0
1215,366.0,554.0
1216,366.0,552.0
1217,366.0,552.0
1218,364.0,552.0
1219,364.0,550.0
1220,364.0,550.0
1221,362.0,548.0
1222,362.0,548.0
1223,362.0,546.0
1224,360.0,546.0
1225,360.0,544.0
1226,358.0,544.0
1227,358.0,542.0
1228,358.0,540.0
1229,356.0,540.0
1230,354.0,538.0
1231,354.0,536.0
1232,352.0,536.0
1233,352.0,534.0
1234,350.0,532.0
1235,350.0,530.0
1236,348.0,530.0
1237,348.0,528.0
1238,346.0,526.0
1239,344.0,524.0
1240,344.0,522.0
1241,342.0,520.0
1242,342.0,518.0
1243,340.0,518.0
1244,338.0,516.0
1245,338.0,514.0
1246,336.0,512.0
1247,334.0,510.0
1248,334.0,508.0
1249,332.0,508.0
1250,330.0,506.0
1251,330.0,504.0
1252,328.0,502.0
1253,326.0,500.0
1254,326.0,498.0
1255,324.0,496.0
1256,324.0,494.0
1257,322.0,492.0
1258,320.0,492.0
1259,320.0,490.0
1260,318.0,488.0
1261,318.0,486.0
1262,316.0,484.0
1263,316.0,484.0
1264,314.0,482.0
1265,314.0,480.0
1266,312.0,478.0
1267,310.0,478.0
1268,310.0,476.0
1269,308.0,474.0
1270,308.0,474.0
1271,308.0,472.0
1272,306.0,472.0
1273,304.0,470.0
1274,304.0,470.0
1275,304.0,468.0
1276,304.0,466.0
1277,302.0,466.0
1278,302.0,464.0
1279,302.0,464.0
1280,300.0,464.0
1281,300.0,462.0
1282,300.0,462.0
1283,298.0,462.0
1284,298.0,462.0
1285,298.0,460.0
1286,298.0,460.0
1287,298.0,460.0
1288,298.0,460.0
1289,298.0,460.0
1290,298.0,460.0
1291,298.0,458.0
1292,298.0,458.0
1293,298.0,458.0
1294,298.0,458.0
1295,298.0,460.0
1296,298.0,460.0
1297,298.0,460.0
1298,298.0,460.0
1299,298.0,460.0
1300,300.0,462.0
1301,300.0,462.0
1302,300.0,462.0
1303,300.0,464.0
1304,300.0,464.0
1305,300.0,464.0
1306,302.0,466.0
1307,304.0,466.0
1308,304.0,466.0
1309,304.0,468.0
1310,304.0,468.0
1311,306.0,470.0
1312,308.0,470.0
1313,308.0,472.0
1314,308.0,474.0
1315,310.0,474.0
1316,310.0,476.0
1317,310.0,478.0
1318,312.0,480.0
1319,314.0,480.0
1320,314.0,482.0
1321,316.0,484.0
1322,318.0,486.0
1323,318.0,486.0
1324,320.0,488.0
1325,320.0,490.0
1326,322.0,492.0
1327,324.0,492.0
1328,324.0,494.0
1329,326.0,496.0
1330,326.0,498.0
1331,328.0,500.0
1332,330.0,502.0
1334,332.0,504.0
1336,334.0,508.0
1337,336.0,510.0
1338,336.0,512.0
1339,338.0,514.0
1340,340.0,516.0
1341,340.0,518.0
1342,342.0,518.0
1343,344.0,520.0
1344,344.0,522.0
1345,346.0,524.0
1346,346.0,526.0
1347,348.0,528.0
1348,350.0,530.0
1349,350.0,530.0
1350,352.0,532.0
1351,352.0,534.0
1352,354.0,534.0
1353,354.0,536.0
1354,356.0,538.0
1355,356.0,540.0
1356,358.0,540.0
1357,358.0,542.0
1358,360.0,544.0
1359,360.0,544.0
1360,360.0,546.0
1361,362.0,546.0
1362,362.0,548.0
